login,email,firstName,lastName,department,costCenter
candidate_12_user_52,user52@ridgeit.com,First52,Last52,,12
candidate_12_user_53,user53@ridgeit.com,First53,Last53,,12
candidate_12_user_54,user54@ridgeit.com,First54,Last54,,12
candidate_12_user_55,user55@ridgeit.com,First55,Last55,,12
candidate_12_user_56,user56@ridgeit.com,First56,Last56,IT Department,12
candidate_12_user_57,user57@ridgeit.com,First57,Last57,,12
candidate_12_user_58,user58@ridgeit.com,First58,Last58,,12
candidate_12_user_59,user59@ridgeit.com,First59,Last59,,12
candidate_12_user_60,user60@ridgeit.com,First60,Last60,,12
candidate_12_user_61,user61@ridgeit.com,First61,Last61,,12
candidate_12_user_62,user62@ridgeit.com,First62,Last62,,12
candidate_12_user_63,user63@ridgeit.com,First63,Last63,,12
candidate_12_user_64,user64@ridgeit.com,First64,Last64,,12
candidate_12_user_65,user65@ridgeit.com,First65,Last65,IT Department,12
candidate_12_user_66,user66@ridgeit.com,First66,Last66,,12
candidate_12_user_67,user67@ridgeit.com,First67,Last67,,12
candidate_12_user_68,user68@ridgeit.com,First68,Last68,,12
candidate_12_user_69,user69@ridgeit.com,First69,Last69,IT Department,12
candidate_12_user_70,user70@ridgeit.com,First70,Last70,,12
candidate_12_user_71,user71@ridgeit.com,First71,Last71,,12
candidate_12_user_72,user72@ridgeit.com,First72,Last72,,12
candidate_12_user_73,user73@ridgeit.com,First73,Last73,IT Department,12
candidate_12_user_74,user74@ridgeit.com,First74,Last74,,12
candidate_12_user_75,user75@ridgeit.com,First75,Last75,,12
candidate_12_user_76,user76@ridgeit.com,First76,Last76,,12
candidate_12_user_77,user77@ridgeit.com,First77,Last77,,12
candidate_12_user_78,user78@ridgeit.com,First78,Last78,IT Department,12
candidate_12_user_79,user79@ridgeit.com,First79,Last79,,12
candidate_12_user_80,user80@ridgeit.com,First80,Last80,,12
candidate_12_user_81,user81@ridgeit.com,First81,Last81,,12
candidate_12_user_82,user82@ridgeit.com,First82,Last82,,12
candidate_12_user_83,user83@ridgeit.com,First83,Last83,,12
candidate_12_user_84,user84@ridgeit.com,First84,Last84,IT Department,12
candidate_12_user_85,user85@ridgeit.com,First85,Last85,,12
candidate_12_user_86,user86@ridgeit.com,First86,Last86,,12
candidate_12_user_87,user87@ridgeit.com,First87,Last87,,12
candidate_12_user_88,user88@ridgeit.com,First88,Last88,,12
candidate_12_user_89,user89@ridgeit.com,First89,Last89,IT Department,12
candidate_12_user_90,user90@ridgeit.com,First90,Last90,,12
candidate_12_user_91,user91@ridgeit.com,First91,Last91,,12
candidate_12_user_92,user92@ridgeit.com,First92,Last92,,12
candidate_12_user_93,user93@ridgeit.com,First93,Last93,IT Department,12
candidate_12_user_94,user94@ridgeit.com,First94,Last94,,12
candidate_12_user_95,user95@ridgeit.com,First95,Last95,,12
candidate_12_user_96,user96@ridgeit.com,First96,Last96,,12
candidate_12_user_97,user97@ridgeit.com,First97,Last97,,12
candidate_12_user_98,user98@ridgeit.com,First98,Last98,,12
candidate_12_user_99,user99@ridgeit.com,First99,Last99,IT Department,12
candidate_12_user_100,user100@ridgeit.com,First100,Last100,IT Department,12
